parameter,value,race_time,P1,P2,P3,P4,first_half_frac,shape_spread,v1,k,baseline
A,0.2576,104.25896637121306,0.24999999805444978,0.25000000250570553,0.25000000216224394,0.24999999727760075,0.5000000005601553,5.228104782428744e-09,1.7540937512469323,321.034,0.23
A,0.26105,104.7697995969577,0.25000000021925123,0.24999999801751813,0.24999999957387248,0.2500000021893581,0.4999999982367693,4.171839956823575e-09,1.7455411821263405,325.33356249999997,0.23
A,0.2645,105.27619806969015,0.2500000094358158,0.24999999638824488,0.24999999561715303,0.24999999855878627,0.5000000058240607,1.3818662769615742e-08,1.73714473404948,329.633125,0.23
rho,987.03,99.6301958609517,0.24999999995244526,0.24999999823550084,0.24999999849498358,0.2500000033170704,0.4999999981879461,5.081569554032939e-09,1.8355880810474632,283.771125,997.0
rho,988.0269999999999,99.66728833798129,0.24999999875137932,0.2500000010100273,0.2500000004242485,0.2499999998143448,0.49999999976140663,2.2586479631048206e-09,1.834904951895826,284.0577625,997.0
rho,989.024,99.70435615106139,0.25000000084171253,0.2499999996266137,0.2499999985110576,0.25000000102061604,0.5000000004683263,2.509558449936833e-09,1.8342227606102806,284.3444,997.0
rho,990.021,99.74139934127471,0.25000000203838324,0.2500000006274965,0.2499999980142904,0.24999999931982986,0.5000000026658797,4.024092836729665e-09,1.833541535577825,284.6310375,997.0
rho,991.018,99.7784179495898,0.2500000005258697,0.2500000030557445,0.24999999884977628,0.24999999756860947,0.5000000035816141,5.4871350241292305e-09,1.8328612877757864,284.91767500000003,997.0
rho,992.015,99.81541201684954,0.2500000007662648,0.2500000041799562,0.24999999869074185,0.24999999636303707,0.500000004946221,7.816919139758127e-09,1.832181982163141,285.2043125,997.0
rho,993.012,99.85238158381271,0.25000000282684975,0.2500000003037606,0.24999999911381673,0.24999999775557308,0.5000000031306103,5.071276676371639e-09,1.8315036159513092,285.49095,997.0
rho,994.009,99.88932669111107,0.2500000029890538,0.25000000033961434,0.2499999990236277,0.24999999764770414,0.5000000033286681,5.341349640364257e-09,1.8308262140856086,285.77758750000004,997.0
rho,995.006,99.9262473792682,0.24999999998960856,0.24999999997073716,0.24999999998564654,0.25000000005400774,0.4999999999603457,8.327058487189731e-11,1.8301497835046674,286.064225,997.0
rho,996.003,99.96314368873439,0.2500000081430365,0.25000000340095574,0.2499999931258612,0.24999999533014658,0.5000000115439922,1.5017175336584643e-08,1.829474217144056,286.35086250000006,997.0
rho,997.0,100.00001565979855,0.2500000069993562,0.2500000031204067,0.24999999414098026,0.24999999573925683,0.5000000101197629,1.28583759473333e-08,1.828799662411968,286.6375,997.0
rho,997.997,100.03686333267692,0.2500000061145147,0.2500000028634561,0.24999999492555192,0.24999999609647736,0.5000000089779708,1.1188962756314424e-08,1.828126047084613,286.9241375,997.0
rho,998.994,100.07368674746768,0.25000000186814525,0.24999999836377593,0.24999999959715097,0.250000000170928,0.5000000002319211,3.5043693225045303e-09,1.8274533953656114,287.210775,997.0
